"Story","Title","Result","Date","Stability","Duration (s)"
"Payments","Manual payment partial","ERROR","2024-11-11T09:46:24.548+08:00[Asia/Shanghai]","0.0","255.29"
"Payments","Manual payment with multiple documents","ERROR","2024-11-11T09:50:40.81+08:00[Asia/Shanghai]","0.0","177.61"
"Payments","Manual payment with negative amount","ERROR","2024-11-11T09:54:54.943+08:00[Asia/Shanghai]","0.0","206.65"
"Payments","Manual payment with zero payments","ERROR","2024-11-11T09:58:22.546+08:00[Asia/Shanghai]","0.0","347.03"
"Payments","Manual payment full","ERROR","2024-11-11T10:04:10.55+08:00[Asia/Shanghai]","0.0","254.4"
"Payments","Application of prepayment partial","ERROR","2024-11-11T10:08:25.994+08:00[Asia/Shanghai]","0.0","170.5"
