"Story","Title","Result","Date","Stability","Duration (s)"
"Supplier creation","View a supplier","FAILURE","2024-06-04T10:34:22.421+08:00[Asia/Shanghai]","0.0","51.44"
"Supplier creation","Edit a supplier","FAILURE","2024-06-04T10:35:14.571+08:00[Asia/Shanghai]","0.0","35.65"
"Supplier creation","Payment terms update","FAILURE","2024-06-04T10:35:50.931+08:00[Asia/Shanghai]","0.0","53.36"
"Supplier creation","Search a supplier","FAILURE","2024-06-04T10:36:45.024+08:00[Asia/Shanghai]","0.0","52.9"
"Supplier creation","Validate or deactivate a supplier","FAILURE","2024-06-04T10:37:38.613+08:00[Asia/Shanghai]","0.0","52.68"
"Supplier creation","Supplier and supplier master creation","FAILURE","2024-06-04T10:38:31.975+08:00[Asia/Shanghai]","0.0","48.25"
