"Story","Title","Result","Date","Stability","Duration (s)"
"Annual statistical budget","Create annual statistical entry","ERROR","2024-11-22T11:07:37.077+08:00[Asia/Shanghai]","0.0","165.16"
"General ledger entries","Create general ledger entry using sustainability accounts","ERROR","2024-11-22T11:15:08.645+08:00[Asia/Shanghai]","0.0","192.0"
"Inquiry and reports","Order inquiry and update","FAILURE","2024-11-22T11:20:25.889+08:00[Asia/Shanghai]","0.0","60.26"
"Internal transfer","Create internal transfer entry","ERROR","2024-11-22T11:21:27.286+08:00[Asia/Shanghai]","0.0","175.11"
"Monthly statistical entries","Create monthly statistical entry","ERROR","2024-11-22T11:24:23.488+08:00[Asia/Shanghai]","0.0","167.44"
