"Story","Title","Result","Date","Stability","Duration (s)"
"Payments","Create voucher entry and manual payment","IGNORED","2023-06-29T11:59:34.197+08:00[Asia/Shanghai]","0.0","0.3"
"Supplier creation","Supplier creation","IGNORED","2023-06-29T13:25:29.096+08:00[Asia/Shanghai]","0.0","0.3"
"Supplier creation","Manage bank account","IGNORED","2023-06-29T13:27:37.206+08:00[Asia/Shanghai]","0.0","0.32"
"Voucher entries","Prepayment","IGNORED","2023-06-29T13:56:09.207+08:00[Asia/Shanghai]","0.0","0.31"
"Lease creation","Create and edit pending lease","IGNORED","2023-06-29T15:03:06.732+08:00[Asia/Shanghai]","0.0","0.39"
"Lease creation","Create and search pending lease","IGNORED","2023-06-29T15:03:07.199+08:00[Asia/Shanghai]","0.0","0.2"
"Lease creation","Create pending lease","IGNORED","2023-06-29T15:03:07.475+08:00[Asia/Shanghai]","0.0","0.2"
