"Story","Title","Result","Date","Stability","Duration (s)"
"Supplier creation","View a supplier","SUCCESS","2024-03-25T09:47:57.869+08:00[Asia/Shanghai]","0.0","56.07"
"Supplier creation","Search a supplier","SUCCESS","2024-03-25T09:50:40.097+08:00[Asia/Shanghai]","0.0","44.3"
"Supplier creation","Validate or deactivate a supplier","SUCCESS","2024-03-25T09:51:25.076+08:00[Asia/Shanghai]","0.0","58.62"
"Supplier creation","Supplier and supplier master creation","SUCCESS","2024-03-25T09:52:24.378+08:00[Asia/Shanghai]","0.0","73.67"
