"Story","Title","Result","Date","Stability","Duration (s)"
"Account recon","Refresh accounts","SUCCESS","2023-06-01T15:15:15.198+08:00[Asia/Shanghai]","0.0","98.51"
"Annual statistical budget","Create annual statistical entry","SUCCESS","2023-06-01T15:16:54.539+08:00[Asia/Shanghai]","0.0","45.94"
"Batch posting","Batch posting voiding process","SUCCESS","2023-06-01T15:17:41.291+08:00[Asia/Shanghai]","0.0","126.77"
"Batch posting","Batch posting general ledger entry","SUCCESS","2023-06-01T15:19:48.727+08:00[Asia/Shanghai]","0.0","114.16"
"General ledger entries","Create general ledger entry","SUCCESS","2023-06-01T15:23:01.779+08:00[Asia/Shanghai]","0.0","112.86"
"Internal transfer","Create internal transfer entry","SUCCESS","2023-06-01T15:27:46.037+08:00[Asia/Shanghai]","0.0","79.55"
"Monthly statistical entries","Create monthly statistical entry","SUCCESS","2023-06-01T15:29:06.445+08:00[Asia/Shanghai]","0.0","43.7"
"Salary advance","Create salary advance entry","SUCCESS","2023-06-01T15:29:50.994+08:00[Asia/Shanghai]","0.0","85.94"
"Working advance","Create working advance entry","SUCCESS","2023-06-01T15:31:17.773+08:00[Asia/Shanghai]","0.0","86.96"
