"Story","Title","Result","Date","Stability","Duration (s)"
"Supplier creation","View a supplier","FAILURE","2024-11-26T09:32:27.381+08:00[Asia/Shanghai]","0.0","55.64"
"Supplier creation","Edit a supplier","FAILURE","2024-11-26T09:33:24.044+08:00[Asia/Shanghai]","0.0","36.95"
"Supplier creation","Payment terms update","FAILURE","2024-11-26T09:34:02.056+08:00[Asia/Shanghai]","0.0","38.79"
"Supplier creation","Search a supplier","FAILURE","2024-11-26T09:34:41.888+08:00[Asia/Shanghai]","0.0","39.34"
"Supplier creation","Validate or deactivate a supplier","FAILURE","2024-11-26T09:35:22.253+08:00[Asia/Shanghai]","0.0","33.38"
"Supplier creation","Supplier and supplier master creation","FAILURE","2024-11-26T09:35:56.778+08:00[Asia/Shanghai]","0.0","38.34"
