"Story","Title","Result","Date","Stability","Duration (s)"
"Annual statistical budget","Create annual statistical entry","ERROR","2024-11-26T10:42:56.66+08:00[Asia/Shanghai]","0.0","155.55"
"General ledger entries","Create general ledger entry using sustainability accounts","ERROR","2024-11-26T10:49:40.81+08:00[Asia/Shanghai]","0.0","175.27"
"Inquiry and reports","Order inquiry and update","FAILURE","2024-11-26T10:54:31.942+08:00[Asia/Shanghai]","0.0","42.48"
"Internal transfer","Create internal transfer entry","ERROR","2024-11-26T10:55:15.536+08:00[Asia/Shanghai]","0.0","161.2"
"Monthly statistical entries","Create monthly statistical entry","ERROR","2024-11-26T10:57:57.758+08:00[Asia/Shanghai]","0.0","159.2"
