"Story","Title","Result","Date","Stability","Duration (s)"
"Annual statistical budget","Create annual statistical entry","ERROR","2024-11-25T12:43:17.421+08:00[Asia/Shanghai]","0.0","145.57"
"General ledger entries","Create general ledger entry using sustainability accounts","ERROR","2024-11-25T12:49:50.49+08:00[Asia/Shanghai]","0.0","175.59"
"Internal transfer","Create internal transfer entry","ERROR","2024-11-25T12:55:21.406+08:00[Asia/Shanghai]","0.0","169.25"
"Monthly statistical entries","Create monthly statistical entry","ERROR","2024-11-25T12:58:11.719+08:00[Asia/Shanghai]","0.0","165.93"
