"Story","Title","Result","Date","Stability","Duration (s)"
"Supplier creation","View a supplier","FAILURE","2024-06-14T11:30:37.407+08:00[Asia/Shanghai]","0.0","40.99"
"Supplier creation","Edit a supplier","FAILURE","2024-06-14T11:31:19.114+08:00[Asia/Shanghai]","0.0","40.38"
"Supplier creation","Payment terms update","FAILURE","2024-06-14T11:32:00.19+08:00[Asia/Shanghai]","0.0","43.63"
"Supplier creation","Search a supplier","FAILURE","2024-06-14T11:32:44.514+08:00[Asia/Shanghai]","0.0","40.35"
"Supplier creation","Validate or deactivate a supplier","FAILURE","2024-06-14T11:33:25.581+08:00[Asia/Shanghai]","0.0","35.81"
"Supplier creation","Supplier and supplier master creation","FAILURE","2024-06-14T11:34:02.077+08:00[Asia/Shanghai]","0.0","38.6"
