"Story","Title","Result","Date","Stability","Duration (s)"
"Supplier creation","View a supplier","SUCCESS","2023-06-27T16:58:48.984+08:00[Asia/Shanghai]","0.0","62.9"
"Supplier creation","Edit a supplier","SUCCESS","2023-06-27T16:59:52.927+08:00[Asia/Shanghai]","0.0","118.94"
"Supplier creation","Payment terms update","SUCCESS","2023-06-27T17:01:53.004+08:00[Asia/Shanghai]","0.0","120.13"
"Supplier creation","Supplier and supplier master creation","SUCCESS","2023-06-27T17:05:30.982+08:00[Asia/Shanghai]","0.0","81.21"
