"Story","Title","Result","Date","Stability","Duration (s)"
"Annual statistical budget","Create annual statistical entry","ERROR","2024-09-04T13:36:24.721+08:00[Asia/Shanghai]","0.0","159.12"
"General ledger entries","Create general ledger entry using sustainability accounts","ERROR","2024-09-04T13:43:54.055+08:00[Asia/Shanghai]","0.0","185.28"
"Internal transfer","Create internal transfer entry","ERROR","2024-09-04T13:50:07.985+08:00[Asia/Shanghai]","0.0","164.97"
"Monthly statistical entries","Create monthly statistical entry","ERROR","2024-09-04T13:52:54.003+08:00[Asia/Shanghai]","0.0","171.76"
