"Story","Title","Result","Date","Stability","Duration (s)"
"Payments","Create voucher entry and manual payment","IGNORED","2023-07-03T16:52:49.385+08:00[Asia/Shanghai]","0.0","0.31"
"Supplier creation","Supplier creation","IGNORED","2023-07-03T18:27:46.289+08:00[Asia/Shanghai]","0.0","0.32"
"Supplier creation","Manage bank account","IGNORED","2023-07-03T18:30:31.796+08:00[Asia/Shanghai]","0.0","0.3"
"Voucher entries","Prepayment","IGNORED","2023-07-03T19:10:07.832+08:00[Asia/Shanghai]","0.0","0.29"
