"Story","Title","Result","Date","Stability","Duration (s)"
"Payments","Create voucher entry and manual payment","IGNORED","2023-06-06T13:44:31.358+08:00[Asia/Shanghai]","0.0","0.64"
"Supplier creation","Supplier creation","IGNORED","2023-06-06T15:20:22.342+08:00[Asia/Shanghai]","0.0","0.32"
"Supplier creation","Manage bank account","IGNORED","2023-06-06T15:22:11.344+08:00[Asia/Shanghai]","0.0","0.3"
"Voucher entries","Prepayment","IGNORED","2023-06-06T15:50:17.397+08:00[Asia/Shanghai]","0.0","0.3"
