"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Add a bank account","ERROR","2023-07-07T14:40:06.211+08:00[Asia/Shanghai]","0.0","163.14"
"Manage bank account","Edit a bank account","ERROR","2023-07-07T14:42:50.104+08:00[Asia/Shanghai]","0.0","166.24"
"Manage bank account","Search a bank account","FAILURE","2023-07-07T14:45:37.01+08:00[Asia/Shanghai]","0.0","45.85"
"Manage bank account","Manage bank account using GVAGL bank account","ERROR","2023-07-07T14:47:04.44+08:00[Asia/Shanghai]","0.0","170.08"
